Tamaño,Tiempo Promedio Bubble Sort (segundos),Tiempo Promedio Quick Sort (segundos)
1000,0.0857588529586792,0.0009307146072387695
2000,0.31751141548156736,0.00468895435333252
3000,0.7205373287200928,0.004263186454772949
4000,1.2787791728973388,0.0062519550323486325
5000,1.9879964590072632,0.011252522468566895
